Data Start: 2025-10-04 12:06:26
Data End: 2025-10-04 12:26:42
Devicename: Multi Plankton Sampler MPS
IdentNo.: 5715

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: 3.067929E+3  Cal1: -5.655204E-2  Cal2: 5.574653E-7  Cal3: -3.003592E+0  Cal4: 1.484468E-4  Cal5: -1.375348E-9  Cal6: -2.595825E-1  Cal7: 7.258593E-2  Cal8: 1.46553E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0 to 9.9

Flow out [m/s]
Range1: 0.0 to 9.9

Flow ratio [%]
Range1: 0.00 to 200.00

Temperature [°C]
Range1: -2.000 to 32.000  Cal0: -2.43644E+0  Cal1: 5.90671E-4  Cal2: 0E+0

Conductivity [mS/cm]
Range1: 0.000 to 65.000  Cal0: -3.29545E-1  Cal1: 1.17396E-3  Cal2: 6.6904E-11

Salinity [PSU]
Range1: 0.000 to 94.000

Sound Vel. [m/s]
Range1: 1400.00 to 1600.00

Density [kg/m³]
Range1: 900.00 to 1100.00

Spec. Cond. [mS/cm]
Range1: 0.000 to 65.000

Header Comment

Ship:	James Cook	
Cruise:	JC28302	
Station: RB_d		
Cast:	4	
Position: 42 52.677 N 65 18.774 W		
Operator: C. Johnson		


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Temperature [°C]	Conductivity [mS/cm]	Salinity [PSU]	Sound Vel. [m/s]	Density [kg/m³]	Spec. Cond. [mS/cm]	Latitude	Longitude	UTC	Comments  [Index]
12:06:26	0	0.4	0	0.0	0.0	0.00	22.625	-0.001	0.000	1490.14	997.63	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:27	0	0.4	0	0.0	0.0	0.00	22.274	-0.001	0.000	1489.14	997.71	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:28	0	0.4	0	0.0	0.0	0.00	22.085	-0.001	0.000	1488.59	997.75	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:29	0	0.5	0	0.0	0.0	0.00	22.007	-0.001	0.000	1488.36	997.77	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:30	0	0.4	0	0.0	0.0	0.00	21.997	-0.001	0.000	1488.33	997.77	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:31	0	0.4	0	0.0	0.0	0.00	22.152	-0.001	0.000	1488.78	997.74	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:32	0	0.4	0	0.0	0.0	0.00	22.228	-0.001	0.000	1489.00	997.72	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:33	0	0.4	0	0.0	0.0	0.00	22.284	-0.001	0.000	1489.17	997.71	-0.001	00°00'0.00''  	00°00'0.00''  		
12:06:34	0	0.4	0	0.0	0.0	0.00	22.372	-0.002	0.000	1489.42	997.69	-0.002	00°00'0.00''  	00°00'0.00''  		
12:06:35	0	0.4	0	0.0	0.0	0.00	22.447	-0.002	0.000	1489.63	997.67	-0.002	00°00'0.00''  	00°00'0.00''  		
12:06:36	0	0.4	0	0.0	0.0	0.00	22.519	-0.003	0.000	1489.84	997.65	-0.003	00°00'0.00''  	00°00'0.00''  		
12:06:37	0	0.4	0	0.0	0.0	0.00	22.525	-0.002	0.000	1489.86	997.65	-0.002	00°00'0.00''  	00°00'0.00''  		
12:06:38	0	0.4	0	0.0	0.0	0.00	22.544	-0.003	0.000	1489.91	997.65	-0.003	00°00'0.00''  	00°00'0.00''  		
12:06:39	0	0.4	0	0.0	0.0	0.00	22.563	-0.002	0.000	1489.97	997.64	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:06:45	
12:06:40	0	0.4	0	0.0	0.0	0.00	22.518	-0.002	0.000	1489.84	997.66	-0.002	42°53'59.58'' N	65°09'52.15'' W	2025-10-04 15:06:46	
12:06:41	0	0.4	0	0.0	0.0	0.00	22.372	-0.002	0.000	1489.42	997.69	-0.002	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:47	
12:06:42	0	0.4	0	0.0	0.0	0.00	22.104	-0.002	0.000	1488.64	997.75	-0.002	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:48	
12:06:43	0	0.4	0	0.0	0.0	0.00	22.072	-0.002	0.000	1488.55	997.76	-0.002	42°53'59.57'' N	65°09'52.13'' W	2025-10-04 15:06:49	
12:06:44	0	0.4	0	0.0	0.0	0.00	22.166	-0.003	0.000	1488.82	997.74	-0.003	42°53'59.57'' N	65°09'52.13'' W	2025-10-04 15:06:50	
12:06:45	0	0.4	0	0.0	0.0	0.00	22.202	-0.002	0.000	1488.93	997.73	-0.002	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:51	
12:06:46	0	0.4	0	0.0	0.0	0.00	22.278	-0.003	0.000	1489.15	997.71	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:52	
12:06:47	0	0.4	0	0.0	0.0	0.00	22.254	-0.002	0.000	1489.08	997.72	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:06:53	
12:06:48	0	0.4	0	0.0	0.0	0.00	22.286	-0.002	0.000	1489.17	997.71	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:06:54	
12:06:49	0	0.4	0	0.0	0.0	0.00	22.265	-0.003	0.000	1489.11	997.71	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:06:55	
12:06:50	0	0.4	0	0.0	0.0	0.00	22.296	-0.002	0.000	1489.20	997.71	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:06:56	
12:06:51	0	0.4	0	0.0	0.0	0.00	22.293	-0.003	0.000	1489.19	997.71	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:57	
12:06:52	0	0.4	0	0.0	0.0	0.00	22.180	-0.003	0.000	1488.87	997.73	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:58	
12:06:53	0	0.4	0	0.0	0.0	0.00	22.013	-0.003	0.000	1488.38	997.77	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:06:59	
12:06:54	0	0.4	0	0.0	0.0	0.00	22.122	-0.003	0.000	1488.70	997.75	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:07:00	
12:06:55	0	0.4	0	0.0	0.0	0.00	22.234	-0.003	0.000	1489.02	997.72	-0.003	42°53'59.57'' N	65°09'52.14'' W	2025-10-04 15:07:01	
12:06:56	0	0.4	0	0.0	0.0	0.00	22.308	-0.002	0.000	1489.23	997.70	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:02	
12:06:57	0	0.4	0	0.0	0.0	0.00	22.290	-0.003	0.000	1489.18	997.71	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:03	
12:06:58	0	0.4	0	0.0	0.0	0.00	22.235	-0.003	0.000	1489.02	997.72	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:04	
12:06:59	0	0.4	0	0.0	0.0	0.00	22.036	-0.003	0.000	1488.45	997.77	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:05	
12:07:00	0	0.4	0	0.0	0.0	0.00	21.853	-0.003	0.000	1487.91	997.81	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:06	
12:07:01	0	0.4	0	0.0	0.0	0.00	21.815	-0.003	0.000	1487.80	997.82	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:07	
12:07:02	0	0.4	0	0.0	0.0	0.00	21.868	-0.003	0.000	1487.96	997.80	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:08	
12:07:03	0	0.4	0	0.0	0.0	0.00	21.900	-0.003	0.000	1488.05	997.80	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:09	
12:07:04	0	0.4	0	0.0	0.0	0.00	22.024	-0.003	0.000	1488.41	997.77	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:10	
12:07:05	0	0.4	0	0.0	0.0	0.00	22.166	-0.003	0.000	1488.82	997.74	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:11	
12:07:06	0	0.4	0	0.0	0.0	0.00	22.027	-0.003	0.000	1488.42	997.77	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:12	
12:07:07	0	0.4	0	0.0	0.0	0.00	21.814	-0.002	0.000	1487.80	997.82	-0.002	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:13	
12:07:08	0	0.4	0	0.0	0.0	0.00	21.635	-0.003	0.000	1487.28	997.86	-0.003	42°53'59.57'' N	65°09'52.16'' W	2025-10-04 15:07:14	
12:07:09	0	0.4	0	0.0	0.0	0.00	21.492	-0.003	0.000	1486.86	997.89	-0.003	42°53'59.57'' N	65°09'52.16'' W	2025-10-04 15:07:15	
12:07:10	0	0.4	0	0.0	0.0	0.00	21.370	-0.003	0.000	1486.49	997.91	-0.003	42°53'59.57'' N	65°09'52.16'' W	2025-10-04 15:07:16	
12:07:11	0	0.4	0	0.0	0.0	0.00	21.390	-0.004	0.000	1486.55	997.91	-0.005	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:17	
12:07:12	0	0.4	0	0.0	0.0	0.00	21.489	-0.003	0.000	1486.85	997.89	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:18	
12:07:13	0	0.4	0	0.0	0.0	0.00	21.466	-0.003	0.000	1486.78	997.89	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:19	
12:07:14	0	0.4	0	0.0	0.0	0.00	21.343	-0.003	0.000	1486.41	997.92	-0.003	42°53'59.57'' N	65°09'52.15'' W	2025-10-04 15:07:20	
12:07:15	0	0.4	0	0.0	0.0	0.00	21.436	-0.004	0.000	1486.69	997.90	-0.005	42°53'59.57'' N	65°09'52.16'' W	2025-10-04 15:07:21	
