Data Start: 2025-10-04 09:25:19
Data End: 2025-10-04 09:43:58
Devicename: Multi Plankton Sampler MPS
IdentNo.: 5715

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: 3.067929E+3  Cal1: -5.655204E-2  Cal2: 5.574653E-7  Cal3: -3.003592E+0  Cal4: 1.484468E-4  Cal5: -1.375348E-9  Cal6: -2.595825E-1  Cal7: 7.258593E-2  Cal8: 1.46553E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0 to 9.9

Flow out [m/s]
Range1: 0.0 to 9.9

Flow ratio [%]
Range1: 0.00 to 200.00

Temperature [°C]
Range1: -2.000 to 32.000  Cal0: -2.43644E+0  Cal1: 5.90671E-4  Cal2: 0E+0

Conductivity [mS/cm]
Range1: 0.000 to 65.000  Cal0: -3.29545E-1  Cal1: 1.17396E-3  Cal2: 6.6904E-11

Salinity [PSU]
Range1: 0.000 to 94.000

Sound Vel. [m/s]
Range1: 1400.00 to 1600.00

Density [kg/m³]
Range1: 900.00 to 1100.00

Spec. Cond. [mS/cm]
Range1: 0.000 to 65.000

Header Comment

Ship:	James Cook	
Cruise:	JC28302
Station: RB_e		
Cast:	3	
Position:42 52.681 N 65 18.838 W		
Operator:C. Johnson	


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Temperature [°C]	Conductivity [mS/cm]	Salinity [PSU]	Sound Vel. [m/s]	Density [kg/m³]	Spec. Cond. [mS/cm]	Latitude	Longitude	UTC	Comments  [Index]
09:25:19	0	0.5	0	0.0	0.0	0.00	17.821	-0.001	0.000	1475.48	998.63	-0.001	00°00'0.00''  	00°00'0.00''  		
09:25:20	0	0.5	0	0.0	0.0	0.00	17.808	-0.002	0.000	1475.44	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:21	0	0.5	0	0.0	0.0	0.00	17.841	-0.002	0.000	1475.54	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:22	0	0.5	0	0.0	0.0	0.00	17.895	-0.002	0.000	1475.72	998.62	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:23	0	0.5	0	0.0	0.0	0.00	17.884	-0.002	0.000	1475.68	998.62	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:24	0	0.5	0	0.0	0.0	0.00	17.887	-0.001	0.000	1475.69	998.62	-0.001	00°00'0.00''  	00°00'0.00''  		
09:25:25	0	0.5	0	0.0	0.0	0.00	17.837	-0.002	0.000	1475.53	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:26	0	0.5	0	0.0	0.0	0.00	17.828	-0.002	0.000	1475.50	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:27	0	0.5	0	0.0	0.0	0.00	17.843	-0.002	0.000	1475.55	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:28	0	0.5	0	0.0	0.0	0.00	17.855	-0.002	0.000	1475.59	998.63	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:29	0	0.5	0	0.0	0.0	0.00	17.866	-0.002	0.000	1475.62	998.62	-0.002	00°00'0.00''  	00°00'0.00''  		
09:25:30	0	0.5	0	0.0	0.0	0.00	17.876	-0.002	0.000	1475.66	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:35	
09:25:31	0	0.5	0	0.0	0.0	0.00	17.897	-0.002	0.000	1475.73	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:36	
09:25:32	0	0.5	0	0.0	0.0	0.00	17.899	-0.002	0.000	1475.73	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:37	
09:25:33	0	0.5	0	0.0	0.0	0.00	17.889	-0.001	0.000	1475.70	998.62	-0.001	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:38	
09:25:34	0	0.5	0	0.0	0.0	0.00	17.904	-0.002	0.000	1475.75	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:39	
09:25:35	0	0.5	0	0.0	0.0	0.00	17.893	-0.002	0.000	1475.71	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:40	
09:25:36	0	0.5	0	0.0	0.0	0.00	17.876	-0.002	0.000	1475.66	998.62	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:41	
09:25:37	0	0.5	0	0.0	0.0	0.00	17.808	-0.002	0.000	1475.43	998.63	-0.002	42°52'40.93'' N	65°18'49.82'' W	2025-10-04 12:25:42	
